,id,synsetId,subSynsetId,modelId,split
21783,46527,3001627,2738535,abe225081bec7d21c5a208307819a3a1,source
21700,40861,3001627,2738535,6e53d494768386ca8579483a049f2a91,source
3408,9789,3001627,3001627,d0fad7458cdb5178d3f6d823f04dd65,source
47999,29572,3001627,3001627,20ec9403d616f96ee6cfc789522bfbab,source
21937,8198,3001627,3001627,436be9df788b706fb40f0ac0fb9a650d,source
24356,11624,3001627,4373704,f8594a24176f732b4c7e2600dbaebf40,source
24548,38918,3001627,4373704,8086d53c2535511597976c675750537,source
21160,2693,3001627,2738535,c2076591d588586719fb4103277a6b93,source
21651,38169,3001627,2738535,52f9bde46afeecc5dc3653f8341633a,source
24193,49434,3001627,4331277,e777e42470ee9bf270ae142beb408e0,source
25121,7932,3001627,20000027,733b580501f3e25c21ede3e0ecf73091,source
3676,22972,3001627,3001627,df609533cd186278398c7598b0d2e5d5,source
25261,18069,3001627,20000027,e23400a634c81fec3cc5c2b17dc81196,source
22251,36899,3001627,3001627,6072ff799065609b6bc601efa799c927,source
21437,24267,3001627,2738535,6aa1ba85285feb756306d83fc23a955a,source
21636,37626,3001627,2738535,8e77d0965bd1ebc598e0d1738edd4f19,source
25073,4355,3001627,20000027,331ddb6fd9c333456cbf78e1e89022,source
3353,6934,3001627,3001627,80784cc9f549e4abc3bd24f986301745,source
23432,23879,3001627,4331277,a27db3ddc9bab11a5fceaa39a8353bde,source
23704,32986,3001627,4331277,6d54d175396e3a99b1aef914f6383f94,source
3229,578,3001627,3001627,a93aac9ad86008e69fc01fb65ca37d30,source
47635,23,3001627,3001627,1be38f2624022098f71e06115e9c3b3e,source
21278,11662,3001627,2738535,654ff4d929914b7ff91663a74ccd2338,source
3860,31424,3001627,3001627,f29cbdb2c7bb10f9953d950bcd7de7a,source
25609,42809,3001627,20000027,609cfbe0dd76c64042e1bb4fe264125f,source
21748,44594,3001627,2738535,d81327c591d1a709377b9297f3055210,source
23242,18158,3001627,4331277,f6cb298705842600bd259faf16bdac27,source
22828,3539,3001627,4331277,e6b80e51ceb5c2771a782a4379556c7,source
22454,10440,3001627,3002711,e66ee381e20dec3a44f23566597ec464,source
24379,14638,3001627,4373704,4c86a55673764f05597976c675750537,source
21201,5375,3001627,2738535,866d6243ed67de2ee0a87b67b4933300,source
3147,32956,3001627,2738535,d4b4d348cfdc2aa5f99372bbf9c0b8a8,source
3963,36680,3001627,3001627,9b6f17ce2db29c4c9ae35d137ece64f9,source
25372,26205,3001627,20000027,94bac9505cc503567085b4353236aad,source
21152,2451,3001627,2738535,e908c290fb506f2e19fb4103277a6b93,source
21774,45960,3001627,2738535,4dbddd8f3f658821ad484915511ccff6,source
48057,34587,3001627,3001627,85f56a4d68ff8d75c3bd24f986301745,source
3269,2820,3001627,3001627,4e358c2dc0513971f98c0761af40e04,source
25303,21426,3001627,20000027,3730f9cc29006f4b65ba78ad9601cf1b,source
3669,22515,3001627,3001627,8778c23fd21bdebf8a80d99ff4e76c20,source
48161,43242,3001627,3001627,b24b70c9aaec3932cf577b918c6f725b,source
4113,44025,3001627,3001627,71b53a5f441d45b742b7e4c0136bdb7e,source
48066,35227,3001627,3001627,114f72b38dcabdf0823f29d871e57676,source
22444,51616,3001627,3001627,b5a741e11438fb83d155b73c25b81001,source
4099,43421,3001627,3001627,197ae965385b8187ae663e348bd216d3,source
23693,32784,3001627,4331277,4460e0885d82b7b5d9987a7cd00eb98d,source
35679,43064,4256520,2738535,ef5eb51bbb7141c119fb4103277a6b93,source
48099,38688,3001627,3001627,a287b508914a00a6857b1bfbb80503,source
23322,20358,3001627,4331277,7ff1b0ac88baea05dbbc9440457e303e,source
24642,50989,3001627,4373704,4dc7fe6e98c4db21d79b19c7c4f0e293,source
24428,22182,3001627,4373704,2182398f0f8fdd81af7c7ad2549a1b15,source
25504,34036,3001627,20000027,2137a8fcee12e72d19fb4103277a6b93,source
23885,38977,3001627,4331277,5db74dcfc73a3ea2f2ca754af3aaf35,source
3862,31508,3001627,3001627,d324baae6630d7c8fb60456da917147,source
23830,37026,3001627,4331277,103c31671f8c0b1467bb14b25f99796e,source
35904,37775,4256520,3693474,cd10e95d1501ed6719fb4103277a6b93,source
22781,2095,3001627,4331277,ced9c5eee916cce089c398a8a379054a,source
24497,32431,3001627,4373704,523269ef7703a120cf004563556ddb36,source
24167,48661,3001627,4331277,d30ecbe6cbe364e5c8687ff9b0b4e4ac,source
24077,45245,3001627,4331277,bcf67dfcbd6c1fe7da8e9e0272759299,source
25484,33162,3001627,20000027,38abcd9d3157f7fe71a782a4379556c7,source
21884,3476,3001627,3001627,701551efa4f1f4fe3e478b26cb10ebe4,source
22567,41569,3001627,3376595,d64a812bb87a822b8380de241b5e0725,source
25600,42117,3001627,20000027,ccea874d869ff9a579368d1198f406e7,source
23865,38123,3001627,4331277,63249ce6d12ee0bc7b20cb946bceb58f,source
23976,41828,3001627,4331277,3b513237d90a4cd1576d8983ea1341c3,source
21811,48329,3001627,2738535,41f3a12d9f29f204dbbc9440457e303e,source
3326,5420,3001627,3001627,ca4900c42b8016ef8397cd720acaa508,source
22718,383,3001627,4331277,52c4af69336f4d6de9deec47d8412ee,source
25670,47348,3001627,20000027,975d6db745442a755634c21965ee6bab,source
22292,40699,3001627,3001627,1a74a83fa6d24b3cacd67ce2c72c02e,source
21822,48989,3001627,2738535,5da96a876b66cfeb922f1115ce03b77e,source
22108,24169,3001627,3001627,383bac847e38daa0e8dd9b2c07157c63,source
48218,46572,3001627,3001627,b83c9e0fefbbd843e88e73357a673e34,source
4167,46659,3001627,3001627,8be8093e99b94bd9cf320c31965db5a1,source
47848,17905,3001627,3001627,3d703ecc2358ea0ff51f77a6d7299806,source
21268,10758,3001627,2738535,7186f1e8dbcb3e8a116162acefe23592,source
3671,22583,3001627,3001627,3a74e3d5172ee94fdef1c01cbd4ae0c,source
25593,41736,3001627,20000027,ec637164befa6a016bba96a850a0781f,source
21961,10387,3001627,3001627,e2acc4d276fda3d77d70172a29ade99a,source
3543,17058,3001627,3001627,951f1376751fc7294b87db09ac4cfa73,source
4185,47426,3001627,3001627,fbc87a27b5691196bd3b190b59dd9fb7,source
3925,35087,3001627,3001627,55e1cde05a99f6c7d1d34366ca81fb3b,source
25485,33174,3001627,20000027,f6f3c3f97b615a19fff16555386d173d,source
23522,27528,3001627,4331277,8862fe77a7856db29a8ef44e1d2c5b75,source
