,id,synsetId,subSynsetId,modelId,split
47711,7171,3001627,3001627,dfd7e14d25b81c1db5d9b03636b8bad3,source
3354,7133,3001627,3001627,e3d23dc47ddd9620c9be65dfbd21428b,source
47967,26894,3001627,3001627,ca1bf3f8bac2927cefda51b1bbd149fd,source
25559,38580,3001627,20000027,4f81153b0a3d2fb25f5359f3b8f96a06,source
3411,9928,3001627,3001627,5d02aed0e9c93e829b9f2eb77f5e247e,source
25192,12855,3001627,20000027,5d5ea6ab578db7ad331fc18393f04d2a,source
21532,31251,3001627,2738535,c89a9a38e300cb502c10b2c975aee2eb,source
21867,892,3001627,3001627,4a4c7abae3929595184740798d03a659,source
48079,36524,3001627,3001627,2aa2d2bb646fdc511b7ca0421af5a45e,source
25391,27459,3001627,20000027,7b17a70aef82c51cb8fa4cb65e077db1,source
3854,31086,3001627,3001627,74500999671b4c99d7bf6fb68df7f786,source
23342,21030,3001627,4331277,4bc064672eb85023d84a8130bee3aae8,source
3702,23832,3001627,3001627,e803b31e2185d0405784b22e1081a3e1,source
21157,2620,3001627,2738535,a89450b61d786e4d115013480320769f,source
22292,40699,3001627,3001627,1a74a83fa6d24b3cacd67ce2c72c02e,source
3385,8986,3001627,3001627,2641f174d2d240ea788a5c6586b10c59,source
23283,19435,3001627,4331277,c5e3ef17d1fc834b3c84e7f4f4c3d556,source
4249,49967,3001627,3001627,d29971cef754cc91cd8c5d1ba690a2c3,source
24690,2186,3001627,20000020,bbba083270a2b0d031d7d27dc50ba701,source
25090,5616,3001627,20000027,3b57aac4b7f4b9f52d19175e7d19b7cb,source
48228,47306,3001627,3001627,a07f62023d3784839aab0d90d6455f4a,source
23350,21113,3001627,4331277,3d629d27b74fad91dbbc9440457e303e,source
48194,45129,3001627,3001627,1fd7d0fe883059e355feea066cda8f9a,source
22245,36291,3001627,3001627,2edba114d2e9454295bea7c29e873d16,source
21648,38095,3001627,2738535,8a2349fc21f48ca78ce66f12ba927a2b,source
3067,16328,3001627,2738535,6dddf2b95ca09bf5febad4f49b26ec52,source
23654,31255,3001627,4331277,bcc73b8ff332b4df3d25ee35360a1f4d,source
21313,14406,3001627,2738535,53fc74fb69742cab20768660cf080d12,source
23226,17419,3001627,4331277,1cd152cfd71cd314e2798a633e84d70b,source
24958,17293,3001627,20000026,56902e76cb4f1039c482eb499cc8fbcd,source
21214,6468,3001627,2738535,32f2998a16e477163c4f66791e25960f,source
4129,44725,3001627,3001627,8eceb15a3c79b1b8719d8721fec72f0c,source
24165,48522,3001627,4331277,fe47e7645f1080735f0277eebfd05be2,source
3273,3072,3001627,3001627,52c32b187590e8f3bba5aaac798c64af,source
22803,2726,3001627,4331277,dddbd223b3bbfa8efd93c2ac42357c74,source
25316,21882,3001627,20000027,fd1a87a399c1c82d492d9da2668ec34c,source
48194,45129,3001627,3001627,1fd7d0fe883059e355feea066cda8f9a,source
25700,50179,3001627,20000027,93e72cd3140b32513b5ed5cb2d36de1e,source
24081,45375,3001627,4331277,c7ae4cc12a7bc2581fa16f9a5527bb27,source
22388,47761,3001627,3001627,bc6ca247b19398b89c7dd675565aedce,source
22243,36011,3001627,3001627,2592e69aaa2344292463e74275a0e3c,source
21843,50644,3001627,2738535,55c9891ac274e076492d9da2668ec34c,source
24946,8175,3001627,20000026,2e28fe9594c48874a6eb1dae0394cf12,source
22826,3441,3001627,4331277,3297a632aee6ac55dbbc9440457e303e,source
23687,32593,3001627,4331277,e0efbc4e240b9cc235836c728d324152,source
3260,2167,3001627,3001627,8bce3b7b7f0f48ad28a1548e344f0e2e,source
21275,11592,3001627,2738535,3b88922c44e2311519fb4103277a6b93,source
